feature,mean_importance
total_3mo_usage_per_limit,0.0076862948642130394
payment_ratio_6month,0.01458006832060622
payment_ratio,0.01655086652901584
total_usage_per_limit,0.0220998666739054
remaining_bill,0.02273336753478049
overlimit_percentage,0.025924911945095063
total_usage,0.026724428212953222
utilization_3month,0.028212845358683104
delinquency_score,0.029393210526570457
payment_ratio_3month,0.06461483457093492
